"","title","company","location","summary","link","description"
"22","Junior Data Scientist","World Bank Group","Washington, DC","We are looking for an environmental analyst with strong data science skills to help us strengthen the methodology, data and the data management systems behind…","https://www.indeed.com/rc/clk?jk=03f0a49a2928aab4&fccid=68e84a75b614b963&vjs=3","Job #: req10275
Organization: World Bank
Sector: Economics
Grade: GE
Term Duration: 3 years 0 months
Recruitment Type: Local Recruitment
Location: Washington, DC,United States
Required Language(s): English
Preferred Language(s):
Closing Date: 1/10/2021 (MM/DD/YYYY) at 11:59pm UTCDescription

Do you want to build a career that is truly worthwhile? Working at the World Bank Group provides a unique opportunity for you to help our clients solve their greatest development challenges. The World Bank Group is one of the largest sources of funding and knowledge for developing countries; a unique global partnership of five institutions dedicated to ending extreme poverty, increasing shared prosperity and promoting sustainable development. With 189 member countries and more than 120 offices worldwide, we work with public and private sector partners, investing in groundbreaking projects and using data, research, and technology to develop solutions to the most urgent global challenges. For more information, visit www.worldbank.org
The World Bank’s Development Data Group is seeking a highly motivated and talented data scientist with experience in environmental statistics research, an interest in advancing methodological research on development statistics, and a passion for data science.
Data and statistics that improve our knowledge of development in all its forms are at the heart World Bank Group’s operational and research work. The Development Data Group’s mission is to put data to work for development through continuous improvements in data quality, accessibility and use.The Development Data Group is responsible for supporting many of the most prevalent and influential data products in the international development sector and includes a diverse range of technical backgrounds and areas of subject expertise. We provide technical expertise, subject matter expertise, partnership, and innovation to client countries, World Bank staff, and colleagues in international organizations, academia, and the non-profit and private sectors. The Development Data Group (DECDG) also serves as a liaison to the international statistical and development data communities.
The selected candidate will work in the Sustainable Development Statistics team situated in DECDG’s Indicators & Services (DECIS) cluster. The Sustainable Development Statistics (SDS) team is responsible for collecting and publishing reliable, high-quality statistics on demography, education, environment, finance and markets, health, labor, and poverty. The SDS team manages several data outputs, including the World Development Indicators (WDI).
Position Context:
The selected candidate will work on developing the environmental statistics portfolio for the WDI, and will be responsible for promoting an understanding and the use of environment related development data to specialists and non-specialists through research and analysis, visualizations and storytelling and other global public goods.The advertised position will focus on improving data, methods, documentation, and the dissemination of environment-related indicators in the WDI. The WDI is an important public resource and attracts considerable interest with around 13 million unique visitors each year to find data related to all aspects of development, both historical and current, and to follow trends and monitor development progress; its users include analysts, policymakers, students, academics, program managers, and all those curious about the state of the world. The WDI is an important source of information on countries’ trajectories towards the Sustainable Development Goals (SDGs). The SDGs’ strong focus on the environment and sustainability (e.g., Goals 6 on water, 7 on energy, 11 on sustainable cities, 12 on sustainable consumption, 13 on climate change, 14 on life under water, 15 on life on land) and the corresponding indicators place new demands on reporting on international environmental statistics. The selected candidate therefore would be expected to work on these areas.
ResponsibilitiesDuties and Accountabilities:
We are looking for an environmental analyst with strong data science skills to help us strengthen the methodology, data and the data management systems behind the WDI’s environment statistics related work. The specific duties will include:Methodology and analysisManage the curation, development, implementation and documentation of World Bank’s Environmental portfolio in the World Development Indicators.
Effectively communicate indicator’s current methodologies and changes through publications, methodological notes and research papers.Contribute to the improvement of methodologies for curating development data, in particular the World Development Indicators (e.g. researching methods for handling missing data, outlier detection, and aggregation).
Use spatial datasets to create novel environmental indicators for internal and external publication and dissemination, and contribute to research on alternative data sources for development indicators
Contribute to a new Data Letters initiative, a sequence of methodological notes, published several times each year, on approaches, quality issues, current practices and changes in development data.Data management and curationEvaluate, document and automate data management and curation processes such as data ingestion, transformation, quality control and dissemination.Contribute to the redesign of the World Development Indicators’ platform to improve functionality, user interface and documentation of data and methods.Coordinate the improvements to the underlying computer systems with the relevant IT specialists and lead computational implementation of new measurement approaches.
CoordinationSupport the maintenance and updating of the World Development Indicators database, as new data become available or methodological revisions become necessary.Coordinate the inputs from other World Bank departments on SDGs related to the environment.Participate in the working groups that coordinate activities across various World Bank departments.

Selection CriteriaA Masters or higher degree in data science, statistics, economics, geography or environment-related fields (e.g. agriculture, climate change, environment & natural resources, sustainability science, public policy etc.) with a strong quantitative and computational background.
At least two years of working experience in development/environment policy and statistics.
Analytical SkillsEnvironmental science: Strong technical knowledge of one or more domains of sustainable development data such as agriculture, climate change, environment & natural resources, and waterStatistics: Experience in statistics, econometrics, geospatial analysis, and/or machine learningData science: Experience in problem solving with strong skills in design and problem formulation; data curation; data acquisition, cleaning and management; data interpretation and analysis; and the presentation and communication of results in an engaging and reproducible mannerCommunication: Excellent oral and written communication skills in English with ability to translate research findings into policy relevant language
Technical SkillsProgramming: Excellent working knowledge of modern statistics, scripting and programming languages such as STATA, R, and/or Python and associated software librariesSpatial analysis: Expertise in at least one GIS analysis software, such as QGIS or ArcGISData visualization: Knowledge of data visualization tools such as R Shiny, Plotly or D3 is a strong advantage.Database management: Familiarity with SQL, database systems, and the management of data in enterprise environments is an advantage.
Soft SkillsAnalytical skills: ability to think strategically and rapidly analyze, interpret and integrate data information from varied sources into clear conclusions and recommendations.Communication skills: strong writing and data presentation skills, including data visualization.
Ability to produce quality work with a high degree of accuracy and attention to detail.Self-starter: ability to take the initiative and work independently.
Strong teamwork orientation, good interpersonal skills, and a proven ability to work effectively with a range of clients and colleagues.
Enthusiasm for, and commitment to, development and data work.
Core competenciesCollaborate Within Teams and Across Boundaries – collaborates across organizational boundaries, internally and externally with a sense of mutuality and respect. Consistently engages others in open dialogue, brings out any conflicting viewpoints and incorporates viewpoints into solutions, giving credit where credit is due. Leverages expertise of all team members to ensure successful outcomes. Makes choices and sets priorities with a World Bank Group (WBG) corporate perspective in mind.Lead and Innovate – encourages and works with others to identify, incubate and implement relevant solutions. Identifies opportunities in changing circumstances and energizes others to continuously improve, using intentional strategies to boost morale, team spirit, and productivity in context of WBG's values and mission. Helps others to understand problems, client needs and the underlying context.Deliver Results for Clients – Develops and implements solutions that show understanding of how clients and/or own work achieves results that are financially, environmentally and socially sustainable. Shares new insights based on in-depth understanding of the client and recommends solutions for current and future needs of clients. Holds self and team accountable for risk management and outcomes.Create, Apply and Share Knowledge – ensures systematic sharing of good practice and learning from lessons from across WBG, clients, and partners. Is known across WBG in their subject area and is sought out by WBG colleagues to advise, peer review, or contribute to technical knowledge products of others. Builds networks across the WBG and as part of external professional groups/networks.Make Smart Decisions – applies critical thinking and seeks inputs and experience from others to recommend a course of action consistent with the WBG's strategy. Evaluates risk and anticipates the short- and long-term implications of decisions. Commits to a decision and acts once a decision has been reached. Maintains a high degree of initiative, and can derive and implement clear courses of action, even when information is incomplete, incorrect, or the situation is otherwise ambiguous.
Poverty has no borders, neither does excellence. We succeed because of our differences and we continuously search for qualified individuals with diverse backgrounds from around the globe."
"23","Data Scientist","The TJX Companies, Inc.","Framingham, MA","Master degree or above in statistics, math, science, engineering or another quantitative field.","https://www.indeed.com/rc/clk?jk=44ea215bdd391c02&fccid=56f3f08c4fc3ba79&vjs=3","Apply now
Date: Nov 20, 2020
Location: Framingham, MA, US
Company: TJX Companies, Inc.

Discovery is at the core of everything we do – whether it’s a great value, incredible style, or building long-lasting partnerships with people around the world. That’s what makes TJX different. You can find it all across our brands: TJ Maxx, Marshalls, HomeGoods, Sierra, and Homesense. Every one of our brands has one thing in common: environments that are always changing. That’s just how we like it. Every day is an opportunity to discover something new about our business, our partnerships, and even about yourself. Come discover what different can mean for you.
Posting Notes: Framingham || MA

Are you passionate about applying your data science skills to solve real world business problems? Are you curious how data is collected in different platforms in different domains, the journey that data goes on for it to become usable, how they can be used, and to what extent? Would you like to combine your data science skills with the right data to drive customer acquisition, retention and growth? TJX Marketing is looking for a motivated, experienced, self-starter to join its growing Customer Insights, Analytics & Loyalty team as a Data Scientist! We are on a journey to develop data science, machine learning, and related solutions to uncover insights from data in customer behavior, profitability and marketing effectiveness across all TJX brands in the US including T.J.Maxx, Marshalls, HomeGoods, Homesense and Sierra!

We are looking for a forward-thinking and enthusiastic hands-on data scientist to apply his/her advanced analytics and predictive modeling skills in our customer data. This person will support multi-channel customer marketing programs and provide insights, analysis, data visualizations, segmentations and recommendations that improve marketing effectiveness. He/she will partner with our IT/technical resources to build, enhance and optimize our data science production environment.
Responsibilities:
Engage with marketing partners to understand marketing problems and translate into data science solutions.
Lead in the design, development and maintenance of our data science and analytics solutions
Explore large datasets using modeling, analysis and visualization techniques
Monitoring and reporting of our solutions, including but not limited to segmentation, supervised learning/models, testing/design of experiment and more
Communicate results and analysis methodology, contribute to learning and insights generation, participate presentation to technical and non-technical stakeholders
Partner with IT/technical resources to build automation of our data science/ML related processes
Coordinate brand marketing, campaign ops, e-commerce resources and more to achieve business outcomes
Qualifications and education requirements:
Master degree or above in statistics, math, science, engineering or another quantitative field
Experience with SQL
Experience with Python and/or R
Experience with rational database such as Oracle, MySQL, and etc.
Statistical techniques such as regression, hypothesis testing, multivariate analysis
Experience with machine learning
Strong coding skills and knowledge in data structure & algorithms
Strong analytical and problem-solving skills
Exceptional attention to detail, comfortable digging into code and working with imperfect data sets
Excellent communication skills and a “can do” attitude are a must
Preferred qualifications:
Demonstrated application of advanced techniques in a business setting with impactful results
Ecommerce or retail analytics experience
Experience with Tableau or PowerBI
Experience with at least one of the following: Bayesian methods, optimization, personalization models, natural language processing
Familiarity with Cloud-based environment
Experience with Spark and/or Scalar
Real world experience with cloud-based big data technologies

Discover Different at TJX means opportunity, teamwork, and career growth. That’s why working here is so much more than a job. When you’re a part of our TJX family, you have the full support of a diverse, close-knit group of people that work together to deliver the best value and style in the business. Our inventory is always changing and our approach is continually evolving, which means every day is another chance to Discover Different.

We care about our culture, but we also prioritize the tangible stuff – competitive pay, great benefits, and a great group of people.

We consider all applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, gender identity and expression, marital or military status. We also provide reasonable accommodations to qualified individuals with disabilities in accordance with the Americans with Disabilities Act and applicable state and local law.
Posting Notes: Framingham || MA
Nearest Major Market: Framingham
Nearest Secondary Market: Boston"
"24","Forensic Scientist I","Department of State Police","Maynard, MA","Follow formal instruction to provide technical advice and/or assistance by telephone, at on-site scenes or in laboratory settings to police and/or fire or legal…","https://www.indeed.com/rc/clk?jk=84385b7e30243e30&fccid=25d2167a5148eee2&vjs=3","Candidates for this position must submit a copy of their college transcript with their submission. Unofficial is acceptable for initial submission. You will not be considered without your transcript.
Through a formal training program, incumbents:
Complete comprehensive training in current methods and techniques used to conduct chemical and biological laboratory or on-site tests including, but not limited to, analyzing biological specimens and organic and inorganic substances; preparing solutions to be used in testing; and operating laboratory equipment. Develop proficiency in applying established protocols and procedures to determine the presence of alcohol, drugs, poisons, heavy metals, biological fluids (i.e. blood, semen, saliva, urine, and feces) as well as chemical and trace materials such as gunshot residues, hairs, fibers, paint and glass by examining clothes, weapons, sexual assault kits, and analyzing explosives/ignitable liquids to prepare reports on laboratory tests and to inform law enforcement and other authorized personnel of results. Engage in practical application of learned methods and procedures for performing on-site scene processing to properly document, collect and transport evidence to the laboratory for further analysis and to analyze chemical and biological samples for the purpose of yielding probative results.

Provide testimony as an expert and/or material witness in court and/or at formal judicial hearings in order to defend the findings of a test examination or analysis, provide opinions on test results/examinations, demonstrate scientific procedures, and to explain test procedures and other job-related functions. Follow formal instruction to provide technical advice and/or assistance by telephone, at on-site scenes or in laboratory settings to police and/or fire or legal personnel on immediate measures to be taken in obtaining and handling physical evidence. Confer with investigators regarding facts and suspicions pertaining to cases to determine the types of tests to be performed. Reinforce practices for maintaining the chain of custody for all evidence handled by adhering to laboratory protocols for requesting, receiving, packaging, returning and documenting contact with case-related items and materials. Calibrate laboratory equipment by following documented procedures and laboratory protocols for ensuring that equipment is functioning within the operating parameters set for achieving valid test results and analytical outcomes. Adhere to quality assurance measures and accreditation standards as mandated by all applicable rules, policies, protocols and procedures. Undergo periodic reviews to affirm that training benchmarks are being met and to satisfactorily complete all proficiency and competency tests required to successfully complete the training program. Conduct extraction of samples containing DNA and prepare reports including the interpretation of these extractions in order to inform law enforcement and other authorized personnel of results.Through formal training incumbents at this level develop the decision-making authority to: Determine that reagents and solutions are suitable for use in testing and analytical processes per laboratory protocols and quality control standards. Determine that laboratory conditions are suitable for conducting tests and analytical processes per the laboratory quality assurance guidelines. Decide that appropriate scientific outcomes have been reached in order to submit test results and findings for review. Determine the operating condition of laboratory equipment to conclude if it meets or falls below applicable standards for use. Determine if chain of custody protocols for handling evidence have been followed or violated in order to report violations to supervisory personnel. Conduct administrative review of casework.
Qualifications

This requisition will remain open until filled; however, first consideration will be given to those applicants that apply within the first 14 days.

Applicants must have a Bachelors degree in the natural sciences, including Chemistry, Analytical Chemistry, Biochemistry, Biology, Forensic Science, Pharmacology or Physics and (A) must successfully complete on-the-job training to attain full competence as a forensic analyst in a designated forensic science specialization within one year of the date of hire.
You must upload a copy of your college transcript and you must have three credit courses in Biochemistry, Molecular Biology, Genetics and Statistics/Population genetics in order to work in an accredited DNA Laboratory.

An Equal Opportunity/Affirmative Action Employer. Females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.
Official Title: Forensic Scientist I
Primary Location: United States-Massachusetts-Maynard - 124 Acton Street
Job: Laboratory Services
Agency: Department of State Police
Schedule: Full-time
Shift: Day
Job Posting: Dec 8, 2020, 3:12:58 PM
Number of Openings: 4
Salary: 55,935.88 - 55,935.88 Yearly
If you have Diversity, Affirmative Action or Equal Employment Opportunity questions or need a Reasonable Accommodation, please contact Diversity Officer / ADA Coordinator: Arthur Somerville - 508-820-2210
Bargaining Unit: 09-MOSES - Engineers/Scientists
Confidential: No"
"25","Data Scientist","Recorded Future","Somerville, MA","You will take our data to new heights by discovering and structuring relationships between pieces of data.","https://www.indeed.com/rc/clk?jk=dddbb854942bbf27&fccid=b276df3fa16c132a&vjs=3",NA
"26","Data Scientist","Lown Institute","Brookline, MA","Experience with Medicare or commercial claims data.","https://www.indeed.com/company/Lown-Institute/jobs/Data-Scientist-6be6e7482b4fa9db?fccid=a07f39671da74cd7&vjs=3",NA
"27","Research Student","Beth Israel Deaconess Medical Center","Boston, MA","With supervision, using databases, may summarize data and interpret results using descriptive statistics and basic hypothesis testing.","https://www.indeed.com/rc/clk?jk=697dcd3b3720ba84&fccid=e22cfd26c0a5b241&vjs=3",NA
"28","Data Scientist, Junior","Booz Allen Hamilton","Lexington, MA","Experience with machine learning, data mining, statistics, or graph algorithms in academic or internship environments.","https://www.indeed.com/rc/clk?jk=b314e1920a0f0d0b&fccid=4e041af1d0af1bc8&vjs=3",NA
"29","Scientist Translational Disease Modeling, Digital Data Scien...","Sanofi","Cambridge, MA","Experience in rare diseases or neurology.","https://www.indeed.com/rc/clk?jk=c2849f9417fbc0d2&fccid=5d3ed74ca4598964&vjs=3",NA
"30","Data Scientist - QuantumBlack","McKinsey & Company","Boston, MA","MSc or PhD level in the field of computer science, machine learning, applied statistics or mathematics.","https://www.indeed.com/rc/clk?jk=572c143878ccdcc3&fccid=6576e7250aa78c3c&vjs=3",NA
"31","Research Associate, Chemical Engineering/Material Scientist","Xibus Systems Inc.","Watertown, MA","Personal protective equipment provided or required.","https://www.indeed.com/company/Xibus-Systems-Inc./jobs/Research-Associate-6e5669d3b1245a22?fccid=6b6303f660cb03d4&vjs=3",NA
"32","Data Scientist Analyst","S&P Global","Cambridge, MA","Data-driven, machine learning technologies and create prototypes of new data tools.","https://www.indeed.com/rc/clk?jk=dc25afacc6621f88&fccid=b716e44d2c6283e7&vjs=3",NA
"33","Data Scientist","Noom US","New York, NY","You have 4+ years of experience as a Data Scientist or Data Analyst in a similarly-sized organization, with a proven record of analysis and research that…","https://www.indeed.com/rc/clk?jk=1c4380354c6d3589&fccid=17f7c591b33e9dc5&vjs=3",NA
"34","Data Scientist (Co-op)","Retail Business Services","Quincy, MA","Analyzing source system data and data flows, working with structured and unstructured data.","https://www.indeed.com/rc/clk?jk=57c44d2b55cbff6e&fccid=c9cf363b57be4ab3&vjs=3",NA
"35","Data Scientist","Gradient AI","Boston, MA","Machine Learning and/or statistics coursework is preferred.","https://www.indeed.com/rc/clk?jk=e073a35b384b36be&fccid=60d895813d6c80b9&vjs=3",NA
"36","Data Scientist","TMP Worldwide Advertising & Communications, LLC",NA,"Working with Product to define data collection and modeling frameworks.","https://www.indeed.com/rc/clk?jk=b1d7cccbea75e4de&fccid=eda0d922dad148f7&vjs=3",NA
"37","Data Scientist","Unum","Portland, ME","Data Visualization: Working knowledge of two or more data visualization tools and proficiency in static data visualization.","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AV9isdB2iNFq7MNITge-w_AXqD4hA-KRfbVtwUipZE1ZWY5PljmcgHbqeUxv3vkM97km1EmswP9uoCvU07MM20LrHIh6KJ2--4sXDKnnTj2mjvsuOc7UM6qSw-Kv6O7iPKrLnTkT_c4I9SvQAtGlr3SohHnywfVix4FI11mpgawVZN879JiIod9gQcTsey76yI80bES8VVBW4MD5eGLcLv0JvcOyY2d4zQSh_e8XAf5fxVRmPhW06Qls0_deOQltVi4bXiXiZIeNERmuVpT_yXbfnlPP1Hm-ex9YGEvX-FGFQBoJSmaACzcMZJI1EqydJQ0h21g3c-4-MGNFV0bPxxnWE3xgJvK73bvSibMF4qf1WrVA8nZmznKKJtzSCSUl9cmn9OzmDyX8gJ7eh38Y9G26JK5QFNyn51SX6P1G8Rd9-yqcN30NzzMq5GouU_nh7T66e7AeHE1XoUxA_dZ71ZVVR-P7_fvwjx1kQkDe-mGuAkop06hTYh-szpl72lXE35-H6iv79q_ysnBCiQzVJ0-5wVJXlFUNU=&p=9&fvj=0&vjs=3",NA
"38","Data Scientist","LiveFree Health",NA,"Combating data engineering and data accuracy issues proactively by helping to build out pipelines and proper data testing.","https://www.indeed.com/rc/clk?jk=42a31491819df595&fccid=415eb13f4d2e2e41&vjs=3",NA
"39","Data Scientist","Kaplan",NA,"Improving our data engineering and workflow.","https://www.indeed.com/rc/clk?jk=c89d57cbc70ba759&fccid=4ffdd90de5b0ef8f&vjs=3",NA
"40","Associate Research Scientist","LanceSoft Inc","Cambridge, MA","A degree in Immunology, Biology or related discipline.","https://www.indeed.com/company/LanceSoft-Inc/jobs/Associate-Research-Scientist-302c7bdbf1f3c067?fccid=6ab083b55ea0c56d&vjs=3",NA
"41","Jr. Data Analyst at AgingChoices.com (a LifestyleCX Company)","LifestyleCX, Inc.","Cambridge, MA","Python or R experience a plus.","https://www.indeed.com/rc/clk?jk=82009fe7e65d5c35&fccid=e08a8c4bd53ff36b&vjs=3",NA
"42","Data Analytics Intern","OctoTelematics North America","Boston, MA","Enrolled in Master’s degree in math, statistics, data science, or related field.","https://www.indeed.com/rc/clk?jk=4c170e8b7ac5cd23&fccid=96a8bb7cd326b01e&vjs=3",NA
"43","Data Scientist","Mystery.org",NA,"Can you communicate complicated/foreign concepts or methodology to non-experts?","https://www.indeed.com/rc/clk?jk=0558bb7a3458addd&fccid=d862d0b396a64c3b&vjs=3",NA
"44","Data Scientist","Chen Lab @ Boston University","Boston, MA","This person will be involved in help to analyze experimental data, developing software tools to aid in the data analysis, and helping with data infrastructure…","https://www.indeed.com/rc/clk?jk=282cb11d8803c808&fccid=a592c034b1b76962&vjs=3",NA
"45","Data Scientist - All Levels","FedEx Services","Collierville, TN","Duties for this role include but not limited to: provide enterprise level analytics related to vast quantities of data (including disparate data), enterprise…","https://www.indeed.com/rc/clk?jk=a88367950cf62977&fccid=2ae04b97d8829e58&vjs=3",NA
"46","Business & Operations Data Analyst, Crozier","Iron Mountain","Somerville, MA","Bachelor’s Degree in statistics, analytics or computer science (or equivalent work experience).","https://www.indeed.com/rc/clk?jk=4bb90108e3d7e858&fccid=849a996a7e062132&vjs=3",NA
"47","Data Analytics Intern","The New York Times","New York, NY","An interest in data privacy and more generally data ethics.","https://www.indeed.com/rc/clk?jk=bbfec3eab5e85a67&fccid=1b50fcfb150b1b48&vjs=3",NA
"48","Scientist, eRNA Research","Flagship Pioneering, Inc.","Cambridge, MA","Communicate scientific data and draw appropriate conclusions effectively.","https://www.indeed.com/rc/clk?jk=f96925ab20443534&fccid=22489c4990c80a96&vjs=3",NA
"49","Scientist","Merck KGaA","Burlington, MA","MS or Ph.D. in Life Science or related discipline.","https://www.indeed.com/rc/clk?jk=4e0042891fe73605&fccid=68d0e0954a811351&vjs=3",NA
"50","Scientist - RNA Analytics","Verve Therapeutics","Cambridge, MA","The successful candidate will be responsible for designing and executing analytical methods from lab scale to preclinical development, interpreting data;…","https://www.indeed.com/rc/clk?jk=be0865af716869ca&fccid=bda00fd85c01fee8&vjs=3",NA
"51","Biomedical Data Scientist - Summer 2021 Internship","PathAI","Boston, MA","A bachelor's or master's degree in computational biology or related field, preferably with a focus on computational pathology, machine & statistical learning,…","https://www.indeed.com/rc/clk?jk=3738728f860a0692&fccid=6498d5efff58e96b&vjs=3",NA
"52","Data Scientist","Motional","Boston, MA","Implement data visualizations to understand trends in metrics, as well as navigating through the raw data.","https://www.indeed.com/rc/clk?jk=9105c7d9605b0dea&fccid=86e1d3bf79028267&vjs=3",NA
"53","Data Scientist","WorkFusion","Boston, MA","Collect, clean and study data.","https://www.indeed.com/rc/clk?jk=e1f0a3652eae7bbf&fccid=b480584f7bee501e&vjs=3",NA
"54","Junior Data Scientist – Performance Analytics","Marina Maher Communications","New York, NY","1-3 of experience in data analytics or data science role.","https://www.indeed.com/rc/clk?jk=503b042faf79bcb0&fccid=654e90d7ed1a0db0&vjs=3",NA
"55","Scientist, Assay Biology and High Throughput Screening","1910 Genetics","Cambridge, MA","High quality data analysis and statistical interpretation and reporting.","https://www.indeed.com/rc/clk?jk=207fad6f78d74e3a&fccid=99394975b83e6160&vjs=3",NA
"56","Associate Scientist (Chromatography)","RCI","Cambridge, MA","A degree in Biochemistry, Biotechnology, Analytical Chemistry or related discipline.","https://www.indeed.com/company/RCI/jobs/Associate-Scientist-46f5af3f005a740b?fccid=caed8e727730aee3&vjs=3",NA
"57","Data Scientist","Agero","Medford, MA","Participate in end-to-end data science projects from problem definition and data exploration to result validation and putting the project into production.","https://www.indeed.com/rc/clk?jk=85103e61fe8849e7&fccid=c4255f05fa16f458&vjs=3",NA
"58","R&D Scientist","Bay State Milling","Quincy, MA","Degree in Food Science, Bakery Science, or related science from an accredited college or university.","https://www.indeed.com/company/Bay-State-Milling/jobs/R&D-Scientist-5a6cad50a817a2ce?fccid=5c72879e7287eb82&vjs=3",NA
"59","Early career data scientist / analyst / statistical genetici...","Data Tecnica","Glen Echo, MD","This will focus on running and refining standard analysis, data management and data visualization workflows.","https://www.indeed.com/rc/clk?jk=b6506065408f4f15&fccid=0ce02a3e84d031c6&vjs=3",NA
"60","Junior Data Scientist","ORTEC","Houston, TX","Mathematics, Statistics, Computer Science or equivalent required, Master’s Degree or equivalent experience preferred.","https://www.indeed.com/rc/clk?jk=956bc4242ccda148&fccid=e7c5b6dbeaeea9b1&vjs=3",NA
"61","Data Science Intern","Zoetis","Parsippany, NJ","Understand various data structures and common methods in data transformation.","https://www.indeed.com/rc/clk?jk=ccce628037cc1a37&fccid=745f1dbed6d65d32&vjs=3",NA
"62","Associate Scientist III/SAS - Translational Neuroscientist","Biogen","Cambridge, MA","BS/MS in Neuroscience or Biological Sciences, with minimum of 2 years academic or industry experience.","https://www.indeed.com/company/Biogen/jobs/Associate-Scientist-SAS-84556c161ed3f8e5?fccid=04233dcb6353e8e1&vjs=3",NA
"63","Research Intern - Machine Learning and Statistics","Microsoft","Cambridge, MA","Authored at least 1 conference or journal publication or preprint in machine learning, statistics, or a related field.","https://www.indeed.com/rc/clk?jk=b70fc070e839322c&fccid=734cb5a01ee60f80&vjs=3",NA
"64","Data Scientist","Simplex Info","Stamford, CT","Additional experience with forecasting and optimization problems and implementing data analytics solutions with Python, R or SAS.","https://www.indeed.com/company/Simplex-Info/jobs/Data-Scientist-106bea76a04ccdf8?fccid=85711c8a5747cc35&vjs=3",NA
"65","Data Scientist","CKM Analytix","New York, NY","Demonstrated proficiency in Python, in an academic or professional environment.","https://www.indeed.com/rc/clk?jk=4f308e7494216a57&fccid=dd616958bd9ddc12&vjs=3",NA
"66","Finance Intern","Vanasse Hangen Brustlin","Watertown, MA","Entering data into Excel spreadsheets.","https://www.indeed.com/rc/clk?jk=a6b2c485fc2650e6&fccid=383d6873bb391471&vjs=3",NA
"67","Associate Scientist, Protein Expression and Purification","Merck","Boston, MA","We identify and target steps in disease mechanisms or pathways that could be inhibited or enhanced.","https://www.indeed.com/rc/clk?jk=adb68ac52b123726&fccid=c38b7d5e0419a6a7&vjs=3",NA
"68","Junior Data Scientist","Cognowiz LLC","Herndon, VA","2+ relevant experience within data science or analysis.","https://www.indeed.com/company/Cognowiz-llc/jobs/Junior-Data-Scientist-40fb68cdf687b298?fccid=69c6da7ffaf6ff96&vjs=3",NA
"69","Biostatistician","Anthem","Watertown, MA","Investigates, analyzes, and evaluates complex statistical/programming issues, develop/implement data quality assurance plans; collaborates and/or communicates…","https://www.indeed.com/rc/clk?jk=82edb9e736c17e34&fccid=2a4da7fa99f4b9ae&vjs=3",NA
"70","Research Scientist","Amazon.com Services LLC","Seattle, WA","Bachelor’s (B.A. or B.S.) or Master’s (M.A. or M.S.) degree or 5+ years equivalent experience.","https://www.indeed.com/rc/clk?jk=07eae52db5dd67f5&fccid=fe2d21eef233e94a&vjs=3",NA
"71","Data Journalist","Sportradar",NA,"Own or able to obtain a modern device suitable for data collection (Android/iOS devices, laptop computer).","https://www.indeed.com/rc/clk?jk=ea336b5465c1db43&fccid=8eb6e636b039823c&vjs=3",NA
"72","Data Scientist","Source Enterprises","New York, NY","Stay current on modern trends and advances in data mining technology.","https://www.indeed.com/rc/clk?jk=1636faa0308fd08f&fccid=1577085fc2290983&vjs=3",NA
"73","Analyst, People","DraftKings","Boston, MA","Bachelor’s degree or equivalent in Mathematics, Statistics, Economics, Computer Science, or another relevant discipline.","https://www.indeed.com/rc/clk?jk=a2d7f9a67f7c82ba&fccid=2b2d6f212948082d&vjs=3",NA
"74","Associate Data Scientist","Insulet Corporation","Acton, MA","Experience in MongoDB or analyzing data from non-relational sources is a plus.","https://www.indeed.com/rc/clk?jk=e86de37c52abc704&fccid=39806be0f84f3745&vjs=3",NA
"75","Research Biochemistry Associate/Scientist","Spectrix Analytical Services, LLC","Cambridge, MA","Ability to independently generate precise, reliable data and skillfully analyze the data.","https://www.indeed.com/company/Spectrix-Analytical-Services,-LLC/jobs/Research-Biochemistry-Associate-Scientist-b52ae06b7fdaccc5?fccid=b8e635c092c945ae&vjs=3",NA
"76","Environmental Scientist - Intern","The Vertex Companies, Inc.","Boston, MA","High School Diploma or GED.","https://www.indeed.com/rc/clk?jk=7fcae525198a36af&fccid=a3ff86f7ce17cb3b&vjs=3",NA
"77","Data Scientist","Wayfair","Boston, MA","Bonuses: experience with GCP, Linux, or Git; experience with visual embeddings or computer vision.","https://www.indeed.com/rc/clk?jk=cce301ca3bf3d987&fccid=95485c6456ed2114&vjs=3",NA
"78","Data Scientist","Apple","Austin, TX","Ph.D. in Math, Engineering, Economics, or hard science with data science fellowship; or.","https://www.indeed.com/rc/clk?jk=dc7a785f3c033095&fccid=c1099851e9794854&vjs=3",NA
"79","Associate Scientist (Cell Culture / Flow Cytometry)","RCI","Cambridge, MA","A degree in Immunology, Biology or related discipline.","https://www.indeed.com/company/RCI/jobs/Associate-Scientist-ce33a90f86992fc8?fccid=caed8e727730aee3&vjs=3",NA
"80","Data Scientist Intern","LOCKHEED MARTIN CORPORATION","Littleton, CO","Actively enrolled in a Computer Science, Aerospace Engineering or other related degree program from an accredited college/university.","https://www.indeed.com/rc/clk?jk=05443a10a0c2f9f2&fccid=aeb15e43a6800b9d&vjs=3",NA
"81","Data Scientist","Imperfect Foods",NA,"3+ years of professional experience as a data scientist, including deploying and maintaining code in a production environment.","https://www.indeed.com/rc/clk?jk=5f2008986b0bc356&fccid=42f139d35fc5ecb9&vjs=3",NA
